Race,Hispanic or Latino,% of H/L,% of US,Not Hispanic or Latino,% of Not H/L,% of US
All races,35305818,100.0,12.5,246116088,100.0,87.5
One race,33081736,93.7,11.8,241513942,98.1,85.8
White,16907852,47.9,6,194552774,79.1,69.1
Black or African A.,710353,2.0,0.3,33947837,13.8,12.1
A. Indian/Alaska Nat.,407073,1.2,0.1,2068883,0.8,0.7
Asian,119829,0.3,<0.1,10123169,4.1,3.6
Hawaiian N. & Pacific Is.,45326,0.1,<0.1,353509,0.1,0.1
Some other,14891303,42.2,5.3,467770,0.2,0.2
2+ races,2224082,6.3,0.8,4602146,1.9,1.6
Some other + W/B/N/A,1859538,5.3,0.7,1302875,0.5,0.5
2+ W/B/N/A,364544,1.0,0.1,3299271,1.3,1.2
