"FAA","Name","Lat","Lon","Alt","TZ","Dst"
"ATL","Hartsfield Jackson Atlanta Intl","33.636719","-84.428067","1026","-5","A"
"BOS","General Edward Lawrence Logan Intl","42.364347","-71.005181","19","-5","A"
"BUF","Buffalo Niagara Intl","42.940525","-78.732167","724","-5","A"
"BWI","Baltimore Washington Intl","39.175361","-76.668333","146","-5","A"
"CLT","Charlotte Douglas Intl","35.214","-80.943139","748","-5","A"
"DEN","Denver Intl","39.861656","-104.673178","5431","-7","A"
"DFW","Dallas Fort Worth Intl","32.896828","-97.037997","607","-6","A"
"DTW","Detroit Metro Wayne Co","42.212444","-83.353389","645","-5","A"
"EWR","Newark Liberty Intl","40.6925","-74.168667","18","-5","A"
"FLL","Fort Lauderdale Hollywood Intl","26.072583","-80.15275","9","-5","A"
"IAD","Washington Dulles Intl","38.944533","-77.455811","313","-5","A"
"IAH","George Bush Intercontinental","29.984433","-95.341442","97","-6","A"
"JFK","John F Kennedy Intl","40.639751","-73.778925","13","-5","A"
"LAS","Mc Carran Intl","36.080056","-115.15225","2141","-8","A"
"LAX","Los Angeles Intl","33.942536","-118.408075","126","-8","A"
"LGA","La Guardia","40.777245","-73.872608","22","-5","A"
"MCO","Orlando Intl","28.429394","-81.308994","96","-5","A"
"MIA","Miami Intl","25.79325","-80.290556","8","-5","A"
"MSP","Minneapolis St Paul Intl","44.881956","-93.221767","841","-6","A"
"ORD","Chicago Ohare Intl","41.978603","-87.904842","668","-6","A"
"PBI","Palm Beach Intl","26.683161","-80.095589","19","-5","A"
"PHX","Phoenix Sky Harbor Intl","33.434278","-112.011583","1135","-7","N"
"RSW","Southwest Florida Intl","26.536167","-81.755167","30","-5","A"
"SFO","San Francisco Intl","37.618972","-122.374889","13","-8","A"
"TPA","Tampa Intl","27.975472","-82.53325","26","-5","A"
