"Year","Month","Day","Dep_Time","Dep_Delay","Arr_Time","arr_Delay","Carrier","TailNum","Flight","Origin","Dest","Air_Time","Distance","Hour","Minute"
"2013","1","1","517","2","830","11","UA","N14228","1545","EWR","IAH","227","1400","5","17"
"2013","1","1","533","4","850","20","UA","N24211","1714","LGA","IAH","227","1416","5","33"
"2013","1","1","542","2","923","33","AA","N619AA","1141","JFK","MIA","160","1089","5","42"
"2013","1","1","544","-1","1004","-18","B6","N804JB","725","JFK","BQN","183","1576","5","44"
"2013","1","1","554","-6","812","-25","DL","N668DN","461","LGA","ATL","116","762","6","54"
"2013","1","1","554","-4","740","12","UA","N39463","1696","EWR","ORD","150","719","6","54"
"2013","1","1","555","-5","913","19","B6","N516JB","507","EWR","FLL","158","1065","6","55"
"2013","1","1","557","-3","709","-14","EV","N829AS","5708","LGA","IAD","53","229","6","57"
"2013","1","1","557","-3","838","-8","B6","N593JB","79","JFK","MCO","140","944","6","57"
"2013","1","1","558","-2","753","8","AA","N3ALAA","301","LGA","ORD","138","733","6","58"
"2013","1","1","558","-2","849","-2","B6","N793JB","49","JFK","PBI","149","1028","6","58"
"2013","1","1","558","-2","853","-3","B6","N657JB","71","JFK","TPA","158","1005","6","58"
"2013","1","1","558","-2","924","7","UA","N29129","194","JFK","LAX","345","2475","6","58"
"2013","1","1","558","-2","923","-14","UA","N53441","1124","EWR","SFO","361","2565","6","58"
"2013","1","1","559","-1","941","31","AA","N3DUAA","707","LGA","DFW","257","1389","6","59"
"2013","1","1","559","0","702","-4","B6","N708JB","1806","JFK","BOS","44","187","6","59"
"2013","1","1","559","-1","854","-8","UA","N76515","1187","EWR","LAS","337","2227","6","59"
"2013","1","1","600","0","851","-7","B6","N595JB","371","LGA","FLL","152","1076","6","0"
"2013","1","1","600","0","837","12","MQ","N542MQ","4650","LGA","ATL","134","762","6","0"
"2013","1","1","601","1","844","-6","B6","N644JB","343","EWR","PBI","147","1023","6","1"
