RaterId,RaterName,Movie,Rating
1,Darlene,Avengers: Infinity War,2
1,Darlene,The Incredibles 2,5
1,Darlene,Mission Impossible: Fallout,1
1,Darlene,Solo: A Starwars Story,5
1,Darlene,Jurassic World: Fallen Kingdom,3
1,Darlene,Ant Man and the Wasp,5
2,John,Avengers: Infinity War,4
2,John,The Incredibles 2,2
2,John,Mission Impossible: Fallout,5
2,John,Solo: A Starwars Story,2
2,John,Jurassic World: Fallen Kingdom,5
2,John,Ant Man and the Wasp,1
3,Jeff,Avengers: Infinity War,2
3,Jeff,The Incredibles 2,4
3,Jeff,Mission Impossible: Fallout,5
3,Jeff,Solo: A Starwars Story,3
3,Jeff,Jurassic World: Fallen Kingdom,2
3,Jeff,Ant Man and the Wasp,1
4,Bryson,Avengers: Infinity War,5
4,Bryson,The Incredibles 2,2
4,Bryson,Mission Impossible: Fallout,3
4,Bryson,Solo: A Starwars Story,5
4,Bryson,Jurassic World: Fallen Kingdom,1
4,Bryson,Ant Man and the Wasp,3
5,Janice,Avengers: Infinity War,1
5,Janice,The Incredibles 2,3
5,Janice,Mission Impossible: Fallout,3
5,Janice,Solo: A Starwars Story,2
5,Janice,Jurassic World: Fallen Kingdom,5
5,Janice,Ant Man and the Wasp,5
6,Ryan,Avengers: Infinity War,4
6,Ryan,The Incredibles 2,3
6,Ryan,Mission Impossible: Fallout,4
6,Ryan,Solo: A Starwars Story,4
6,Ryan,Jurassic World: Fallen Kingdom,3
6,Ryan,Ant Man and the Wasp,3
