Characteristic,2016 Total,2016 Below Poverty Number,2016 Below Poverty Number Margin of Error,2016 Below Poverty Percent,2016 Below Poverty Percent Margin of Error,2017 Total,2017 Below Poverty Number,2017 Below Poverty Number Margin of Error,2017 Below Poverty Percent,2017 Below Poverty Percent Margin of Error,Change in Poverty Number,Change in Poverty Percent
,,,,,,,,,,,,
PEOPLE,,,,,,,,,,,,
        Total,319911,40616,739,12.7,0.2,322549,39698,915,12.3,0.3,-918,*-0.4
,,,,,,,,,,,,
Race3 and Hispanic Origin,,,,,,,,,,,,
White,245985,27113,547,11,0.2,247272,26436,714,10.7,0.3,-677,*-0.3
"   White, not Hispanic",195221,17263,493,8.8,0.3,195256,16993,571,8.7,0.3,-270,-0.1
Black,41962,9234,388,22,0.9,42474,8993,373,21.2,0.9,-241,-0.8
Asian,18879,1908,175,10.1,0.9,19475,1953,190,10,1,45,-0.1
Hispanic (any race),57556,11137,399,19.4,0.7,59053,10790,423,18.3,0.7,-348,*-1.1
,,,,,,,,,,,,
Sex,,,,,,,,,,,,
Male,156677,17685,395,11.3,0.3,158116,17365,483,11,0.3,-321,-0.3
Female,163234,22931,460,14,0.3,164433,22333,525,13.6,0.3,-598,*-0.5
,,,,,,,,,,,,
Age,,,,,,,,,,,,
Under age 18,73586,13253,370,18,0.5,73356,12808,425,17.5,0.6,-445,-0.6
Aged 18 to 64,197051,22795,473,11.6,0.2,198113,22209,564,11.2,0.3,-586,*-0.4
Aged 65 and older,49274,4568,198,9.3,0.4,51080,4681,190,9.2,0.4,114,-0.1
,,,,,,,,,,,,
Nativity,,,,,,,,,,,,
Native born,276089,33999,670,12.3,0.2,277158,33095,850,11.9,0.3,-904,*-0.4
Foreign born,43822,6617,268,15.1,0.6,45391,6603,295,14.5,0.6,-14,-0.6
  Naturalized citizen,20409,2045,143,10,0.7,21851,2213,146,10.1,0.6,168,0.1
  Not a citizen,23413,4572,222,19.5,0.9,23540,4390,238,18.6,0.9,-182,-0.9
,,,,,,,,,,,,
Region,,,,,,,,,,,,
Northeast,55470,5969,350,10.8,0.6,55972,6373,339,11.4,0.6,404,0.6
Midwest,66897,7809,355,11.7,0.5,67345,7647,397,11.4,0.6,-162,-0.3
South,121166,17028,524,14.1,0.4,122250,16609,587,13.6,0.5,-420,-0.5
West,76377,9810,373,12.8,0.5,76982,9069,400,11.8,0.5,*-740,*-1.1
,,,,,,,,,,,,
Residence4,,,,,,,,,,,,
Inside metropolitan statistical areas,276296,33718,835,12.2,0.3,279537,33322,857,11.9,0.3,-396,-0.3
  Inside principal cities,103252,16495,643,16,0.5,103860,16218,634,15.6,0.5,-277,-0.4
  Outside principal cities,173044,17223,577,10,0.3,175677,17105,577,9.7,0.3,-119,-0.2
Outside metropolitan statistical areas,43614,6898,600,15.8,0.8,43012,6376,523,14.8,0.7,*-522,*-1.0
,,,,,,,,,,,,
Work Experience,,,,,,,,,,,,
"          Total, aged 18 to 64",197051,22795,473,11.6,0.2,198113,22209,564,11.2,0.3,-586,*-0.4
All workers,150904,8743,254,5.8,0.2,152199,8135,259,5.3,0.2,*-608,*-0.4
"  Worked full-time, year-round",107781,2416,131,2.2,0.1,109700,2422,128,2.2,0.1,6,Z
"  Less than full-time, year-round",43123,6327,223,14.7,0.5,42499,5714,224,13.4,0.5,*-613,*-1.2
Did not work at least 1 week,46148,14052,381,30.5,0.7,45914,14073,440,30.7,0.7,21,0.2
,,,,,,,,,,,,
Disability Status5,,,,,,,,,,,,
"          Total, aged 18 to 64",197051,22795,473,11.6,0.2,198113,22209,564,11.2,0.3,-586,*-0.4
With a disability,15405,4123,191,26.8,1.1,15116,3764,170,24.9,1,*-360,*-1.9
With no disability,180783,18629,409,10.3,0.2,182042,18412,504,10.1,0.3,-217,-0.2
,,,,,,,,,,,,
Educational Attainment,,,,,,,,,,,,
"          Total, aged 25 and older",216921,22636,425,10.4,0.2,219830,22163,516,10.1,0.2,-473,*-0.4
No high school diploma,22541,5599,214,24.8,0.8,22411,5485,217,24.5,0.9,-113,-0.4
"High school, no college",62512,8309,250,13.3,0.4,62685,7942,285,12.7,0.4,*-367,*-0.6
"Some college, no degree",57765,5430,202,9.4,0.3,57810,5075,206,8.8,0.4,*-356,*-0.6
Bachelors degree or higher,74103,3299,167,4.5,0.2,76924,3661,181,4.8,0.2,*363,*0.3
