"Skill_Type","Skill","Percentage"
"General Skill","Data analysis",55.69
"Software/Language Skill","R",48.01
"Software/Language Skill","Python",46.31
"General Skill","Data mining",45.94
"General Skill","Machine learning",45.32
"General Skill","Statistics",41.52
"Software/Language Skill","Sql",39
"General Skill","Analytics",35.16
"Software/Language Skill","Matlab",30.55
"Software/Language Skill","Java",30.02
"General Skill","Statistical modeling",27.15
"General Skill","Algorithm design",27.04
"Software/Language Skill","C++",25.99
"General Skill","Business intelligence",23.78
"General Skill","Big data",23.68
"Software/Language Skill","Sas",22.78
"Software/Language Skill","Hadoop",20.98
"General Skill","Programming",19.77
"General Skill","Research",19.7
"General Skill","Software engineering",19.51
